No,theme,title_en,desc_en,title_ja,desc_ja,copy_right,ai_flag,taste_category,character_category,zip_path,done
1,静かにブチギレるエリート,Quietly Enraged Elite,"He looks calm, but his heart is magma. Stickers showing the quiet anger of an elite businessman.",静かにブチギレるエリート,冷静な顔して心はマグマ。理不尽な社会を生き抜く、エリートサラリーマンの静かなる怒りスタンプ。,©ryo,TRUE,シュール,男性キャラ,,1
2,「動なる怒り、限界突破のブチギレ顔芸」40代おじさん,Exploding Anger! 40s Middle-aged Man,Stress exploded! Dynamic and funny angry face stickers of a man in his 40s who has reached his limit.,限界突破！ブチギレ顔芸おじさん,溜まりに溜まったストレスが大爆発！怒りの限界を突破した40代おじさんのダイナミックな顔芸スタンプです。,©ryo,TRUE,面白い・ネタ,男性キャラ,,1
3,「泣きまくりサラリーマンおじさん」,Crying Office Worker,"Sadness, pain, or being moved. Crying stickers of a sorrowful office worker shedding tears in every situation.",泣きまくりサラリーマンおじさん,悲しい時、辛い時、感動した時…。あらゆる場面で涙を流す、哀愁漂うサラリーマンおじさんの号泣スタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,,1
4,「泣きまくり女性OL」,Crying Office Lady's Limit Diary,"Work, love, relationships... Super relatable crying stickers for office ladies who can't stop their tears.",泣きまくりOLの限界ダイアリー,仕事、恋愛、人間関係…。ストレス社会で涙が止まらない限界OLたちの、共感度MAXな大号泣スタンプ。,©ryo,TRUE,シュール,女性キャラ,,1
5,「キャバ嬢編」夜の世界で戦う蝶たちの、煌びやかさと隣り合わせの「過酷なリアル」と「計算高い可愛さ」「ドレスの中は傷だらけ。笑顔と涙と計算と。」,Surviving the Night! Cabaret Girl,True feelings hidden in gorgeous dresses. Cute and tough real-life stickers of girls working in the nightlife.,夜を生き抜く！キャバ嬢のリアル,華やかなドレスに隠された本音と計算。夜の世界で戦う蝶たちの、可愛くてたくましいリアルなスタンプ。,©ryo,TRUE,面白い・ネタ,女性キャラ,,1
6,愛おしさ爆発！号泣おばあちゃん「シワの数だけ涙がある。豪快で可愛い人生の大先輩。」,Burst of Love! Crying Grandma,Tears for every wrinkle. Emotional and crying stickers of an energetic and cute grandma.,愛おしさ爆発！号泣おばあちゃん,シワの数だけ涙がある。豪快でキュートな人生の大先輩、おばあちゃんの感情豊かな号泣スタンプです。,©ryo,TRUE,ほんわか・癒し,女性キャラ,,1
7,頑固ジジイの涙腺崩壊録「威厳はどこへ？ 哀愁と可愛げが同居する男泣き。」,Stubborn Old Man's Tearful Record,Where did his dignity go? Miraculous crying stickers of a usually strict grandpa showing his cute and sorrowful side.,頑固ジジイの涙腺崩壊録,威厳はどこへ？普段は厳しいおじいちゃんが見せる、哀愁と可愛げが同居する奇跡の男泣きスタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,,1
8,美人崩壊！限界爆笑ログ「綺麗なお姉さんは、笑い方も豪快だった。」洗練されたファッションの大人の美女。普段はクールだが、ツボに入ると笑いが止まらない。,Beauty Collapse! Hilarious Lady,The beautiful lady laughs dynamically! Hilarious stickers of a cool adult beauty who can't stop laughing.,美人崩壊！限界爆笑お姉さん,綺麗なお姉さんは笑い方も豪快！普段はクールな大人の美女が、ツボに入って笑いが止まらない爆笑スタンプ。,©ryo,TRUE,面白い・ネタ,女性キャラ,,1
9,笑う門には福来る！爆笑おばあちゃん「シワの数だけ笑いがある。豪快でキュートな人生の大先輩。」割烹着や着物が似合う、感情表現豊かな田舎のおばあちゃん。笑い声が大きそう。,Hilarious Grandma! Laughing Loud,Laughs for every wrinkle! Dynamic and cute laughing stickers of a country grandma in a smock.,爆笑おばあちゃん！笑う門には福来る,シワの数だけ笑いがある！割烹着が似合う田舎のおばあちゃんの、豪快でキュートな大爆笑スタンプ。,©ryo,TRUE,ほんわか・癒し,女性キャラ,,1
10,シワくちゃ笑顔のファンキージジイ「笑う門にはジジイ来る。入れ歯が飛ぶほどの特大スマイル。」腹巻や甚平が似合う、普段は気難しそうだけど実はゲラなおじいちゃん。,Flying Dentures! Funky Grandpa,Fortune comes to those who laugh! Huge laughing stickers of a grumpy grandpa in a belly band.,入れ歯も飛ぶ！ファンキージジイの笑顔,笑う門にはジジイ来る！腹巻姿の気難しいおじいちゃんが見せる、入れ歯が飛ぶほどの特大爆笑スタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,,1
11,オフィス崩壊！限界OLの爆笑ログ「建前は脱ぎ捨てた。ストレス社会を笑い飛ばす戦士たち。」ごく普通のOL（20代後半〜30代）。仕事中はきちんとしているが、ツボが浅く、一度笑うと止まらない。,Office Collapse! Hilarious Lady,No more polite facade! Hilarious stickers of a normal office lady who can't stop laughing once she starts.,オフィス崩壊！限界OLの爆笑ログ,建前は脱ぎ捨てた！仕事中はきちんとしている普通のOLが、ツボに入って腹を抱えて笑い転げるスタンプ。,©ryo,TRUE,面白い・ネタ,女性キャラ,,1
12,哀愁のガハハおじさん！50代サラリーマン爆笑ログ「理不尽も老眼も、全部まとめて笑い飛ばせ。」少し白髪交じり、くたびれたスーツを着た50代の中間管理職。笑い皺が深い。,Sorrowful Laughs! 50s Office Worker,Laugh off unreasonableness and presbyopia! Sorrowful yet hilarious stickers of a tired middle-aged manager.,哀愁のガハハ！50代サラリーマン,理不尽も老眼も全部まとめて笑い飛ばせ！くたびれたスーツの中間管理職おじさんの、哀愁漂う爆笑スタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,,1
